Date,Close,Volume
11/10/2017,299.252991,885985984
11/11/2017,314.681,842300992
11/12/2017,307.90799,1613479936
11/13/2017,316.716003,1041889984
11/14/2017,337.631012,1069680000
11/15/2017,333.356995,722665984
11/16/2017,330.924011,797254016
11/17/2017,332.394012,621732992
11/18/2017,347.612,649638976
11/19/2017,354.385986,1181529984
11/20/2017,366.730011,807027008
11/21/2017,360.401001,949912000
11/22/2017,380.652008,800819008
11/23/2017,410.165985,1845680000
11/24/2017,474.911011,2292829952
11/25/2017,466.276001,1422080000
11/26/2017,471.329987,1197779968
11/27/2017,480.355011,1396480000
11/28/2017,472.902008,1346499968
11/29/2017,427.52301,2675940096
11/30/2017,447.114014,1903040000
12/1/2017,466.540009,1247879936
12/2/2017,463.449005,943649984
12/3/2017,465.852997,990556992
12/4/2017,470.20401,1005550016
12/5/2017,463.281006,1216720000
12/6/2017,428.588013,1998259968
12/7/2017,434.40799,2129570048
12/8/2017,456.031006,2336379904
12/9/2017,473.502014,2003849984
12/10/2017,441.721008,1404179968
12/11/2017,515.135986,1771440000
12/12/2017,651.43103,5179829760
12/13/2017,702.767029,4524539904
12/14/2017,695.815979,3821580032
12/15/2017,684.447998,2758710016
12/16/2017,696.208984,2165690112
12/17/2017,719.974976,2147389952
12/18/2017,794.64502,3249230080
12/19/2017,826.822998,4096549888
12/20/2017,819.085999,3969939968
12/21/2017,821.062988,3569060096
12/22/2017,674.859985,4977710080
12/23/2017,719.387024,2480339968
12/24/2017,694.14801,2300549888
12/25/2017,765.833984,2491760128
12/26/2017,773.835999,2201159936
12/27/2017,762.84198,2100029952
12/28/2017,737.02301,2389149952
12/29/2017,753.59198,2648969984
12/30/2017,717.257019,3187780096
12/31/2017,756.732971,2554269952
1/1/2018,772.640991,2595760128
1/2/2018,884.44397,5783349760
1/3/2018,962.719971,5093159936
1/4/2018,980.921997,6502859776
1/5/2018,997.719971,6683149824
1/6/2018,1041.680054,4662219776
1/7/2018,1153.170044,5569880064
1/8/2018,1148.530029,8450970112
1/9/2018,1299.73999,7965459968
1/10/2018,1255.819946,9214950400
1/11/2018,1154.930054,7235899904
1/12/2018,1273.199951,5222300160
1/13/2018,1396.420044,5746760192
1/14/2018,1366.77002,4841630208
1/15/2018,1291.920044,4781100032
1/16/2018,1053.689941,8405139968
1/17/2018,1014.25,8545160192
1/18/2018,1036.280029,5938319872
1/19/2018,1039.099976,4084450048
